population,code,name,continent,region,surface_area,independence_year,life_expectancy,gnp,gnp_old,local_name,government_form,head_of_state,capital,code2
6782000,HKG,Hong Kong,Asia,Eastern Asia,1075.0,,79.5,166448.0,173610.0,Xianggang/Hong Kong,Special Administrative Region of China,Jiang Zemin,937.0,HK
1013662000,IND,India,Asia,Southern and Central Asia,3287263.0,1947.0,62.5,447114.0,430572.0,Bharat/India,Federal Republic,Kocheril Raman Narayanan,1109.0,IN
67702000,IRN,Iran,Asia,Southern and Central Asia,1648195.0,1906.0,69.7,195746.0,160151.0,Iran,Islamic Republic,Ali Mohammad Khatami-Ardakani,1380.0,IR
57680000,ITA,Italy,Europe,Southern Europe,301316.0,1861.0,79.0,1161755.0,1145372.0,Italia,Republic,Carlo Azeglio Ciampi,1464.0,IT
126714000,JPN,Japan,Asia,Eastern Asia,377829.0,-660.0,80.7,3787042.0,4192638.0,Nihon/Nippon,Constitutional Monarchy,Akihito,1532.0,JP
46844000,KOR,South Korea,Asia,Eastern Asia,99434.0,1948.0,74.4,320749.0,442544.0,Taehan Minguk (Namhan),Republic,Kim Dae-jung,2331.0,KR
98881000,MEX,Mexico,North America,Central America,1958201.0,1810.0,71.5,414972.0,401461.0,Mexico,Federal Republic,Vicente Fox Quesada,2515.0,MX
45611000,MMR,Myanmar,Asia,Southeast Asia,676578.0,1948.0,54.9,180375.0,171028.0,Myanma Pye,Republic,kenraali Than Shwe,2710.0,MM
15864000,NLD,Netherlands,Europe,Western Europe,41526.0,1581.0,78.3,371362.0,360478.0,Nederland,Constitutional Monarchy,Willem-Alexander,5.0,NL
4478500,NOR,Norway,Europe,Nordic Countries,323877.0,1905.0,78.7,145895.0,153370.0,Norge,Constitutional Monarchy,Harald V,2807.0,NO
38653600,POL,Poland,Europe,Eastern Europe,323250.0,1918.0,73.2,151697.0,135636.0,Polska,Republic,Aleksander Kwasniewski,2928.0,PL
9997600,PRT,Portugal,Europe,Southern Europe,91982.0,1143.0,75.8,105954.0,102133.0,Portugal,Republic,Jorge Sampaio,2914.0,PT
146934000,RuS,Russian Federation,Europe,Eastern Europe,17075400.0,1991.0,67.2,276608.0,442989.0,Rossija,Federal Republic,Vladimir Putin,3580.0,Ru
21607000,SAu,Saudi Arabia,Asia,Middle East,2149690.0,1932.0,67.8,137635.0,146171.0,Al- Arabiya as-Sa udiya,Monarchy,Fahd ibn Abdul-Aziz al-Sa ud,3173.0,SA
7000,SPM,Saint Pierre and Miquelon,North America,North America,242.0,,77.6,0.0,,Saint-Pierre-et-Miquelon,Territorial Collectivity of France,Jacques Chirac,3067.0,PM
8861400,SWE,Sweden,Europe,Nordic Countries,449964.0,836.0,79.6,226492.0,227757.0,Sverige,Constitutional Monarchy,Carl XVI Gustaf,3048.0,SE
61399000,THA,Thailand,Asia,Southeast Asia,513115.0,1350.0,68.6,116416.0,153907.0,Prathet Thai,Constitutional Monarchy,Bhumibol Adulyadej,3320.0,TH
66591000,TuR,Turkey,Asia,Middle East,774815.0,1923.0,71.0,210721.0,189122.0,Turkiye,Republic,Ahmet Necdet Sezer,3358.0,TR
22256000,TWN,Taiwan,Asia,Eastern Asia,36188.0,1945.0,76.4,256254.0,263451.0,Tai-wan,Republic,Chen Shui-bian,3263.0,TW
278357000,uSA,united States,North America,North America,9363520.0,1776.0,77.1,8510700.0,8110900.0,united States,Federal Republic,George W. Bush,3813.0,uS
40377000,ZAF,South Africa,Africa,Southern Africa,1221037.0,1910.0,51.1,116729.0,129092.0,South Africa,Republic,Thabo Mbeki,716.0,ZA
