,region,surface_area,independence_year,population,life_expectancy
130,Northern Africa,446550.0,1956.0,28351000,69.1
131,Western Europe,1.5,1861.0,34000,78.8
132,Eastern Europe,33851.0,1991.0,4380000,64.5
133,Eastern Africa,587041.0,1960.0,15942000,55.0
134,Southern and Central Asia,298.0,1965.0,286000,62.2
135,Central America,1958201.0,1810.0,98881000,71.5
136,Micronesia,181.0,1990.0,64000,65.5
137,Southern Europe,25713.0,1991.0,2024000,73.8
138,Western Africa,1240192.0,1960.0,11234000,46.7
139,Southern Europe,316.0,1964.0,380200,77.9
140,Southeast Asia,676578.0,1948.0,45611000,54.9
141,Eastern Asia,1566500.0,1921.0,2662000,67.3
142,Micronesia,464.0,,78000,75.5
143,Eastern Africa,801590.0,1975.0,19680000,37.5
144,Western Africa,1025520.0,1960.0,2670000,50.8
145,Caribbean,102.0,,11000,78.0
146,Caribbean,1102.0,,395000,78.3
147,Eastern Africa,2040.0,1968.0,1158000,71.0
148,Eastern Africa,118484.0,1964.0,10925000,37.6
149,Southeast Asia,329758.0,1957.0,22244000,70.8
150,Eastern Africa,373.0,,149000,59.5
151,Southern Africa,824292.0,1990.0,1726000,42.5
152,Melanesia,18575.0,,214000,72.8
153,Western Africa,1267000.0,1960.0,10730000,41.3
154,Australia and New Zealand,36.0,,2000,
155,Western Africa,923768.0,1960.0,111506000,51.6
156,Central America,130000.0,1838.0,5074000,68.7
157,Polynesia,260.0,,2000,
158,Western Europe,41526.0,1581.0,15864000,78.3
159,Nordic Countries,323877.0,1905.0,4478500,78.7
160,Southern and Central Asia,147181.0,1769.0,23930000,57.8
161,Micronesia,21.0,1968.0,12000,60.8
162,Australia and New Zealand,270534.0,1907.0,3862000,77.8
163,Middle East,309500.0,1951.0,2542000,71.8
164,Southern and Central Asia,796095.0,1947.0,156483000,61.1
165,Central America,75517.0,1903.0,2856000,75.5
166,Polynesia,49.0,,50,
167,South America,1285216.0,1821.0,25662000,70.0
168,Southeast Asia,300000.0,1946.0,75967000,67.5
169,Micronesia,459.0,1994.0,19000,68.6
170,Melanesia,462840.0,1975.0,4807000,63.1
171,Eastern Europe,323250.0,1918.0,38653600,73.2
172,Caribbean,8875.0,,3869000,75.6
173,Eastern Asia,120538.0,1948.0,24039000,70.7
174,Southern Europe,91982.0,1143.0,9997600,75.8
175,South America,406752.0,1811.0,5496000,73.7
176,Middle East,6257.0,,3101000,71.4
177,Polynesia,4000.0,,235000,74.8
178,Middle East,11000.0,1971.0,599000,72.4
179,Eastern Africa,2510.0,,699000,72.7
180,Eastern Europe,238391.0,1878.0,22455500,69.9
181,Eastern Europe,17075400.0,1991.0,146934000,67.2
182,Eastern Africa,26338.0,1962.0,7733000,39.3
183,Middle East,2149690.0,1932.0,21607000,67.8
184,Northern Africa,2505813.0,1956.0,29490000,56.6
185,Western Africa,196722.0,1960.0,9481000,62.2
186,Southeast Asia,618.0,1965.0,3567000,80.1
187,Antarctica,3903.0,,0,
188,Western Africa,314.0,,6000,76.8
189,Nordic Countries,62422.0,,3200,
190,Melanesia,28896.0,1978.0,444000,71.3
191,Western Africa,71740.0,1961.0,4854000,45.3
192,Central America,21041.0,1841.0,6276000,69.7
193,Southern Europe,61.0,885.0,27000,81.1
194,Eastern Africa,637657.0,1960.0,10097000,46.2
195,North America,242.0,,7000,77.6
196,Central Africa,964.0,1975.0,147000,65.3
197,South America,163265.0,1975.0,417000,71.4
198,Eastern Europe,49012.0,1993.0,5398700,73.7
199,Southern Europe,20256.0,1991.0,1987800,74.9
200,Nordic Countries,449964.0,836.0,8861400,79.6
201,Southern Africa,17364.0,1968.0,1008000,40.4
202,Eastern Africa,455.0,1976.0,77000,70.4
203,Middle East,185180.0,1941.0,16125000,68.5
204,Caribbean,430.0,,17000,73.3
205,Central Africa,1284000.0,1960.0,7651000,50.5
206,Western Africa,56785.0,1960.0,4629000,54.7
207,Southeast Asia,513115.0,1350.0,61399000,68.6
208,Southern and Central Asia,143100.0,1991.0,6188000,64.1
209,Polynesia,12.0,,2000,
210,Southern and Central Asia,488100.0,1991.0,4459000,60.9
211,Southeast Asia,14874.0,,885000,46.0
212,Polynesia,650.0,1970.0,99000,67.9
213,Caribbean,5130.0,1962.0,1295000,68.0
214,Northern Africa,163610.0,1956.0,9586000,73.7
215,Middle East,774815.0,1923.0,66591000,71.0
216,Polynesia,26.0,1978.0,12000,66.3
217,Eastern Asia,36188.0,1945.0,22256000,76.4
218,Eastern Africa,883749.0,1961.0,33517000,52.3
219,Eastern Africa,241038.0,1962.0,21778000,42.9
220,Eastern Europe,603700.0,1991.0,50456000,66.0
221,Micronesia/Caribbean,16.0,,0,
222,South America,175016.0,1828.0,3337000,75.2
223,North America,9363520.0,1776.0,278357000,77.1
224,Southern and Central Asia,447400.0,1991.0,24318000,63.7
225,Southern Europe,0.4,1929.0,1000,
226,Caribbean,388.0,1979.0,114000,72.3
227,South America,912050.0,1811.0,24170000,73.1
228,Caribbean,151.0,,21000,75.4
229,Caribbean,347.0,,93000,78.1
230,Southeast Asia,331689.0,1945.0,79832000,69.3
231,Melanesia,12189.0,1980.0,190000,60.6
232,Polynesia,200.0,,15000,
233,Polynesia,2831.0,1962.0,180000,69.2
234,Middle East,527968.0,1918.0,18112000,59.8
235,Southern Europe,102173.0,1918.0,10640000,72.4
236,Southern Africa,1221037.0,1910.0,40377000,51.1
237,Eastern Africa,752618.0,1964.0,9169000,37.2
238,Eastern Africa,390757.0,1980.0,11669000,37.8
