,continent,region
149,Asia,Southeast Asia
150,Africa,Eastern Africa
151,Africa,Southern Africa
152,Oceania,Melanesia
153,Africa,Western Africa
154,Oceania,Australia and New Zealand
155,Africa,Western Africa
156,North America,Central America
157,Oceania,Polynesia
158,Europe,Western Europe
159,Europe,Nordic Countries
160,Asia,Southern and Central Asia
161,Oceania,Micronesia
162,Oceania,Australia and New Zealand
163,Asia,Middle East
164,Asia,Southern and Central Asia
165,North America,Central America
166,Oceania,Polynesia
167,South America,South America
168,Asia,Southeast Asia
169,Oceania,Micronesia
170,Oceania,Melanesia
171,Europe,Eastern Europe
172,North America,Caribbean
173,Asia,Eastern Asia
174,Europe,Southern Europe
175,South America,South America
176,Asia,Middle East
177,Oceania,Polynesia
178,Asia,Middle East
179,Africa,Eastern Africa
180,Europe,Eastern Europe
181,Europe,Eastern Europe
182,Africa,Eastern Africa
183,Asia,Middle East
184,Africa,Northern Africa
185,Africa,Western Africa
186,Asia,Southeast Asia
187,Antarctica,Antarctica
188,Africa,Western Africa
189,Europe,Nordic Countries
190,Oceania,Melanesia
191,Africa,Western Africa
192,North America,Central America
193,Europe,Southern Europe
194,Africa,Eastern Africa
195,North America,North America
196,Africa,Central Africa
197,South America,South America
198,Europe,Eastern Europe
199,Europe,Southern Europe
200,Europe,Nordic Countries
201,Africa,Southern Africa
202,Africa,Eastern Africa
203,Asia,Middle East
204,North America,Caribbean
205,Africa,Central Africa
206,Africa,Western Africa
207,Asia,Southeast Asia
208,Asia,Southern and Central Asia
209,Oceania,Polynesia
210,Asia,Southern and Central Asia
211,Asia,Southeast Asia
212,Oceania,Polynesia
213,North America,Caribbean
214,Africa,Northern Africa
215,Asia,Middle East
216,Oceania,Polynesia
217,Asia,Eastern Asia
218,Africa,Eastern Africa
219,Africa,Eastern Africa
220,Europe,Eastern Europe
221,Oceania,Micronesia/Caribbean
222,South America,South America
223,North America,North America
224,Asia,Southern and Central Asia
225,Europe,Southern Europe
226,North America,Caribbean
227,South America,South America
228,North America,Caribbean
229,North America,Caribbean
230,Asia,Southeast Asia
231,Oceania,Melanesia
232,Oceania,Polynesia
233,Oceania,Polynesia
234,Asia,Middle East
235,Europe,Southern Europe
236,Africa,Southern Africa
237,Africa,Eastern Africa
238,Africa,Eastern Africa
